physical_mass_kg,proxy_mass,hawking_temperature_normalized,tne_temperature_proxy_normalized
100000000000.0,1.4,0.9999999999989999,0.3871937009587788
149249554505.18323,1.496644664630345,0.8220412614566671,0.3467464941189249
222754295199.95563,1.599960894404627,0.6757518355379474,0.3104126842277897
332459793227.0945,1.7104092401627715,0.555495891317828,0.2783736229944453
496194760300.2898,1.828482045445753,0.45664054323335973,0.25105530430149864
740568469226.2443,1.9547056412062618,0.37537736819218576,0.22880421440566
1105295141126.0198,2.089642692024421,0.3085756852712968,0.21222999213735355
1649648074098.0208,2.2338947042872435,0.253661945575526,0.20143755444301342
2462092401494.6206,2.3881047075124897,0.20852058572466725,0.19618323687113326
3674661940736.688,2.552960120769413,0.17141252532896,0.19580897360488725
5484416576121.026,2.7291958169739883,0.1409081685510321,0.19928173062457008
8185467307069.0205,2.9175973987182675,0.11583232862535497,0.20549502994479343
12216773489967.932,3.1190047002364776,0.09521895354074561,0.21343229617728723
18233480008684.387,3.3343155311184955,0.0782739086832966,0.22224652883209908
27213387683753.086,3.5644896784589934,0.06434438263322546,0.23133319335422237
40615859883769.88,3.8105531852825623,0.05289373746752025,0.24025813650722844
60618989934975.72,4.073602924316653,0.043480834671001604,0.2487563419714002
90473572423492.75,4.354811487500777,0.035743040182174696,0.25660673481156854
135031403786987.22,4.655432413027839,0.029382253839680735,0.2636757401531741
201533768594173.53,4.976805773218064,0.02415342501083531,0.2699250626619884
300788251804309.56,5.32036414813451,0.019855111964425933,0.27533293488978033
448925125821860.75,5.687639011568631,0.016321721285616448,0.2798828831524235
670018750350957.6,6.080267557862574,0.0134171283547857,0.28357981442390096
1000000000000000.0,6.5,0.011029433117905081,0.2864302701262998
