residual,value
backbone::raw_color_observation_normalization,1.1920928955078125e-07
backbone::raw_color_collapse_projection_normalization,0.0
backbone::raw_color_collapse_idempotence,0.0
backbone::raw_color_collapse_outcome_stability,0.0
backbone::raw_sound_observation_normalization,1.1920928955078125e-07
backbone::raw_sound_collapse_projection_normalization,0.0
backbone::raw_sound_collapse_idempotence,0.0
backbone::raw_sound_collapse_outcome_stability,0.0
backbone::raw_vision_observation_normalization,1.1920928955078125e-07
backbone::raw_vision_collapse_projection_normalization,0.0
backbone::raw_vision_collapse_idempotence,0.0
backbone::raw_vision_collapse_outcome_stability,0.0
backbone::elastic_dubler_ratio_identity,4.842304406338371e-07
backbone::elastic_dubler_log_shift,4.4403924448488397e-07
backbone::elastic_dubler_endpoint_exchange,2.9376991506069317e-07
backbone::elastic_dubler_cocycle,4.840185852117429e-07
backbone::elastic_dubler_diagonal,0.0
backbone::elastic_dubler_precision_ratio,4.539354563348752e-07
backbone::elastic_dubler_precision_normalization,1.1920928955078125e-07
backbone::modality_weight_normalization,1.1920928955078125e-07
backbone::latent_collapse_bounds,0.0
backbone::token_reconstruction,0.5466607809066772
backbone::soinet_completeness,3.0665881633758545
sample::observation_normalization,1.1920928955078125e-07
sample::collapse_projection_normalization,0.0
sample::collapse_idempotence,0.0
sample::collapse_outcome_stability,0.0
fused_token_reconstruction,0.13875322043895721
