theorem_complex_id,level,residual_norm,closure_status,exact_semantics,source_registry
prime_motif_boundedness_motif_induced_energy_divergence,A,0.0,satisfied,True,base
flowpoint_parity_locking_parity_leakage,A,5.1881279945373535,open,True,base
dfi_plateau_for_pgqenn_dfi_divergence_spiking_under_motif_bias,A,0.015338145196437836,open,True,base
elastic_e_curvature_regularization_curvature_ambiguity_leakage,A,0.5172543525695801,open,True,base
prime_motif_parity_stability_functional,B,35.65712356567383,open,True,base
dfi_elastic_prime_curvature_coupling,B,0.47745829820632935,open,True,base
prime_motif_elastic_parity_spatial_closure,C,2.2055495207951026e-07,numerical_candidate,False,base
prime_quasicrystal_support_equivalence_support_mismatch_leakage,A,0.3195244371891022,open,False,extended_A
soi_scaled_annealing_invariance_soi_mis_scaling_spurious_entropy,A,0.0,satisfied,False,extended_A
motif_exhaustion_completeness_coverage_bias_long_memory_drift,A,6.241323471069336,open,False,extended_A
weight_energy_parseval_equivalence_layerwise_l_2_energy_mismatch,A,3.6718590763484826e-06,open,False,extended_A
parity_orthogonal_optimization_cross_parity_gradient_contamination,A,0.0,satisfied,False,extended_A
prime_shell_growth_regularity_shell_instability_phase_slips,A,0.0,satisfied,False,extended_A
