source,target,weight
0,1,0.42
0,2,0.09457518462743995
0,3,0.10401457354905998
0,24,0.34
1,2,0.4554127862844686
1,3,0.4708939432137145
1,25,0.3330434782608696
2,3,0.7566061487956659
2,26,0.32608695652173914
3,4,0.42
3,27,0.3191304347826087
4,5,0.6678919889134496
4,6,0.3494585354276276
4,7,0.08204859902205767
4,8,0.2151496281678957
4,9,0.13163902138217917
4,28,0.3121739130434783
5,6,0.42
5,8,0.28673677550695276
5,9,0.1371345360729505
5,29,0.30521739130434783
6,7,0.42
6,8,0.3716562837744005
6,9,0.36752654446952304
6,10,0.08283354705109125
6,30,0.2982608695652174
7,8,0.42
7,9,0.40618818003491736
7,10,0.336152476558947
7,11,0.10334624442341267
7,31,0.291304347826087
8,9,0.42
8,32,0.2843478260869565
9,10,0.42
9,33,0.2773913043478261
10,11,0.42
10,18,0.09063631001264083
10,20,0.09105955870584614
10,34,0.2704347826086957
11,12,0.42
11,16,0.08604703100397969
11,17,0.10624007843827818
11,18,0.10209218418200526
11,20,0.11058892858237437
11,35,0.2634782608695652
12,13,0.42
12,14,0.11035669161669166
12,15,0.15238081156976607
12,16,0.0991524820182087
12,17,0.080945815325946
12,18,0.10830567126847565
12,19,0.08625732135598517
12,36,0.2565217391304348
13,14,0.5141321885162777
13,15,0.5728599889876071
13,16,0.29022224150735326
13,17,0.19750870537985474
13,18,0.12386398043251275
13,37,0.24956521739130436
14,15,0.6189125753217427
14,16,0.27786264058214805
14,17,0.18424971269741874
14,18,0.08889400832409614
14,38,0.2426086956521739
15,16,0.42
15,17,0.17778009083395271
15,18,0.1039627206483913
15,39,0.2356521739130435
16,17,0.6592094940223713
16,18,0.26198335787988714
16,40,0.22869565217391305
17,18,0.42
17,41,0.2217391304347826
18,19,0.42
18,42,0.2147826086956522
19,20,0.42
19,21,0.0841116475307629
19,43,0.20782608695652174
20,21,0.42
20,44,0.2008695652173913
21,22,0.42
21,45,0.19391304347826088
22,23,0.42
22,46,0.18695652173913044
23,47,0.18
24,25,0.36119999999999997
24,26,0.08133465877959836
24,27,0.08945253325219157
25,26,0.39165499620464295
25,27,0.4049687911637945
26,27,0.6506812879642727
27,28,0.36119999999999997
28,29,0.5743871104655667
28,30,0.30053434046775973
28,31,0.0705617951589696
28,32,0.1850286802243903
28,33,0.11320955838867408
29,30,0.36119999999999997
29,32,0.24659362693597936
29,33,0.11793570102273744
30,31,0.36119999999999997
30,32,0.31962440404598447
30,33,0.3160728282437898
30,34,0.07123685046393848
31,32,0.36119999999999997
31,33,0.34932183483002893
31,34,0.2890911298406944
31,35,0.0888777702041349
32,33,0.36119999999999997
33,34,0.36119999999999997
34,35,0.36119999999999997
34,42,0.07794722661087111
34,44,0.07831122048702768
35,36,0.36119999999999997
35,40,0.07400044666342254
35,41,0.09136646745691923
35,42,0.08779927839652452
35,44,0.09510647858084197
36,37,0.36119999999999997
36,38,0.09490675479035483
36,39,0.13104749794999881
36,40,0.08527113453565947
36,41,0.06961340118031356
36,42,0.09314287729088906
36,43,0.07418129636614725
37,38,0.44215368212399886
37,39,0.49265959052934216
37,40,0.2495911276963238
37,41,0.16985748662667507
37,42,0.10652302317196095
38,39,0.5322648147766987
38,40,0.23896187090064733
38,41,0.15845475291978012
38,42,0.07644884715872267
39,40,0.36119999999999997
39,41,0.15289087811719934
39,42,0.08940793975761652
40,41,0.5669201648592392
40,42,0.22530568777670293
41,42,0.36119999999999997
42,43,0.36119999999999997
43,44,0.36119999999999997
43,45,0.07233601687645609
44,45,0.36119999999999997
45,46,0.36119999999999997
46,47,0.36119999999999997
