node_index,orientation,partner_index,stream,x,y,z
0,positive,24,qenn,-1.0,0.0031432555273348327,0.9966973784177174
1,positive,25,pgqenn,-0.9130434782608696,0.6549986034843627,0.990725046146755
2,positive,26,memory_transfer,-0.8260869565217391,0.9696487683885529,0.9617331482002154
3,positive,27,meta_closure,-0.7391304347826086,0.9059542515361839,0.9182917704589841
4,positive,28,qenn,-0.6521739130434783,0.8702918375072004,-0.3145593132930812
5,positive,29,pgqenn,-0.5652173913043479,0.9613703065950974,-0.42603729930794043
6,positive,30,memory_transfer,-0.4782608695652174,0.5569648029693566,-0.5665248082498308
7,positive,31,meta_closure,-0.3913043478260869,-0.06182409593684632,-0.699996012753048
8,positive,32,qenn,-0.30434782608695654,0.8033634184390094,-0.8478157772720255
9,positive,33,pgqenn,-0.21739130434782605,0.27022579839684396,-0.720382940560051
10,positive,34,memory_transfer,-0.13043478260869568,-0.4202905345521246,-0.6010600767741038
11,positive,35,meta_closure,-0.04347826086956519,-0.918210323956973,-0.5000947559492952
12,positive,36,qenn,0.04347826086956519,-0.11357989455495118,0.7605341252161844
13,positive,37,pgqenn,0.13043478260869557,-0.7563656060340401,0.8264018295260083
14,positive,38,memory_transfer,0.21739130434782616,-1.0,0.9259985186852563
15,positive,39,meta_closure,0.30434782608695654,-0.8241354263779362,0.9644098612783655
16,positive,40,qenn,0.3913043478260869,-0.9462415473666823,0.4244129549436939
17,positive,41,pgqenn,0.4782608695652173,-0.9334203985716722,0.2746737382439916
18,positive,42,memory_transfer,0.5652173913043479,-0.5183458267998162,0.11112224857963442
19,positive,43,meta_closure,0.6521739130434783,0.18609255319224197,-0.0024497109738366857
20,positive,44,qenn,0.7391304347826086,-0.7623126025807271,-0.9528378516678541
21,positive,45,pgqenn,0.826086956521739,-0.09238102924581548,-0.9803084721373527
22,positive,46,memory_transfer,0.9130434782608696,0.5435618086034452,-0.9930535023449437
23,positive,47,meta_closure,1.0,0.9885408586789396,-0.8981202708000294
24,negative,0,qenn,0.93,0.17714238413550806,0.8077020671816313
25,negative,1,pgqenn,0.8491304347826087,-0.2932684862023252,0.8810871197969952
26,negative,2,memory_transfer,0.7682608695652174,-0.5250351465637192,0.8953617022488009
27,negative,3,meta_closure,0.687391304347826,-0.48699454242343526,0.8525308442561192
28,negative,4,qenn,0.6065217391304348,-0.6832307993979388,-0.1503580232665317
29,negative,5,pgqenn,0.5256521739130435,-0.7688733346238993,-0.2297257756480201
30,negative,6,memory_transfer,0.4447826086956522,-0.5029891236229063,-0.3920493183260402
31,negative,7,meta_closure,0.36391304347826087,-0.08148593322101928,-0.5744156618423906
32,negative,8,qenn,0.2830434782608696,-0.7310285011850514,-0.5903271693776595
33,negative,9,pgqenn,0.20217391304347823,-0.3242315041465368,-0.5510830860460201
34,negative,10,memory_transfer,0.12130434782608698,0.19441837105819101,-0.5372935263332791
35,negative,11,meta_closure,0.040434782608695624,0.5710943771781474,-0.5152619911937659
36,negative,12,qenn,-0.040434782608695624,0.21867366661847804,0.6024030540785152
37,negative,13,pgqenn,-0.12130434782608689,0.6933355656591904,0.5786216091919819
38,negative,14,memory_transfer,-0.20217391304347834,0.886679733363346,0.6300588001350577
39,negative,15,meta_closure,-0.2830434782608696,0.7669712820222199,0.6822757364701237
40,negative,16,qenn,-0.36391304347826087,0.7576882459938761,0.23022550782039022
41,negative,17,pgqenn,-0.4447826086956521,0.7215039598555225,0.11047528014903256
42,negative,18,memory_transfer,-0.5256521739130435,0.3932110000402018,0.027807522133525935
43,negative,19,meta_closure,-0.6065217391304348,-0.1344275862737048,0.020346840494261317
44,negative,20,qenn,-0.687391304347826,0.3773542605579097,-0.8632761721606491
45,negative,21,pgqenn,-0.7682608695652173,-0.10994118392773633,-0.8051355859407536
46,negative,22,memory_transfer,-0.8491304347826087,-0.5701141326165704,-0.7391459198669911
47,negative,23,meta_closure,-0.93,-0.8734110669928419,-0.6088525163065511
