theorem_complex_id,level,residual_norm,closure_status,exact_semantics
g_delian_provability_boundary_and_declared_dual_carrier_completion,A,0.0,satisfied,True
2_adic_criterion_of_theoremhood_and_typed_dual_infinity,A,0.0,satisfied,True
non_manifestability_of_the_anti_circle_and_observation_collapse,A,0.0,satisfied,True
dual_closure_idempotence_and_oscillatory_non_closure,A,0.0,satisfied,True
karoubi_envelope_equivalence_and_missing_idempotent_splittings,A,0.0,satisfied,True
commutation_of_closure_with_parity_soi_and_misaligned_closures,A,0.0,satisfied,True
conservativity_of_dual_closure_over_base_theory_and_trivialization_overreach,A,0.0,satisfied,True
global_symmetry_and_kd_charge_conservation,A,0.0,satisfied,True
local_gauge_symmetry_and_elastic_divergence_identity,A,0.0,satisfied,True
typed_admissibility_instrument,B,0.0,satisfied,True
idempotent_splitting_and_oscillation_obstruction,B,0.0,satisfied,True
protected_commuting_closure_transport,B,0.0,satisfied,True
noether_constant_to_local_transgression,B,0.0,satisfied,True
sheaf_of_closure_certificates,C,0.0,closed,True
terminal_quotient_of_closure_certificates,C,0.0,closed,True
